Species Name ,Order,Brain Mass (g),Cranial Capacity (cc),Body Mass (g),EQ,Independent contrast derived EQ,PGLS-ML dervived EQ,Reference,Notes
Phoca fasciata,Carnivora,248.75,240.11,87580.00,0.91,0.189659687,2.104312114,Bininda-Emonds 2000,
Phoca largha,Carnivora,253.75,244.93,91500.00,0.90,0.188199645,2.090948926,Bininda-Emonds 2000,
Urocyon cinereoargenteus,Carnivora,37.28,35.98,3749.00,1.44,0.207589183,2.088895286,Crile & Quiring 1940; Silva & Downing 1995,
Monachus schauinslandi,Carnivora,370.00,357.14,173000.00,0.82,0.183596371,2.080482622,Bininda-Emonds 2000,
Neophoca cinerea,Carnivora,388.75,375.24,189275.00,0.80,0.182261113,2.071116266,Bininda-Emonds 2000,
Ailurus fulgens,Carnivora,46.80,45.17,5590.00,1.34,0.202534243,2.063425526,Warncke 1908,
Callorhinus ursinus,Carnivora,334.83,323.20,150916.67,0.82,0.181098548,2.043508244,Bininda-Emonds 2000; Scheffer 1960,
Arctocephalus pusillus,Carnivora,369.38,356.54,178750.00,0.80,0.179543505,2.036619503,Bininda-Emonds 2000,
Leopardus pardalis,Carnivora,63.10,60.91,9525.50,1.21,0.19508354,2.020629647,Count 1947,
Monachus monachus,Carnivora,480.00,463.32,280500.00,0.74,0.175575963,2.019628769,Bininda-Emonds 2000,
Leptonychotes weddellii,Carnivora,564.17,544.56,378666.67,0.69,0.170764136,1.982637001,Bininda-Emonds 2000; Robin 1973; Silva & Downing 1995,
Ursus maritimus,Carnivora,507.00,489.38,317000.00,0.71,0.171675778,1.982268284,Count 1947; Crile & Quiring 1940,
Canis mesomelas,Carnivora,54.80,52.90,8000.00,1.20,0.189147339,1.948572624,Warncke 1908; Silva & Downing 1995,
Procyon lotor,Carnivora,41.07,39.64,4975.67,1.28,0.191269514,1.941640028,Crile & Quiring 1940; Silva & Downing 1995,
Erignathus barbatus,Carnivora,460.00,444.02,281000.00,0.71,0.168071317,1.933410488,Crile & Quiring 1940; Silva & Downing 1995,
Phoca hispida,Carnivora,196.25,189.43,69085.00,0.86,0.173791275,1.914121223,Bininda-Emonds 2000,
Cystophora cristata,Carnivora,455.00,439.19,282840.00,0.70,0.16556121,1.904920826,Bininda-Emonds 2000,
Nasua narica,Carnivora,44.17,42.64,6250.00,1.16,0.178154406,1.821333263,Crile & Quiring 1940; Silva & Downing 1995,
Crocuta crocuta,Carnivora,175.00,168.92,62370.00,0.83,0.165301888,1.814857927,Crile & Quiring 1940; Silva & Downing 1995,
Paradoxurus hermaphroditus,Carnivora,25.95,25.05,2773.50,1.25,0.174765637,1.742250069,Warncke 1908; Silva & Downing 1995,
Melursus ursinus,Carnivora,267.00,257.72,136080.00,0.71,0.15415461,1.733902654,Count 1947,
Puma concolor,Carnivora,154.00,148.65,54432.00,0.81,0.158513451,1.732998457,Count 1947,
Mustela erminea,Carnivora,4.57,4.41,156.43,1.88,0.188870387,1.722299402,Crile & Quiring 1940; Silva & Downing 1995; Warncke 1908,
Lynx canadensis,Carnivora,69.50,67.08,14969.00,0.95,0.161550242,1.696911379,Count 1947,
Eumetopias jubatus,Carnivora,661.25,638.27,643775.00,0.55,0.143193704,1.690111088,Bininda-Emonds 2000,
Phocarctos hookeri,Carnivora,393.75,380.07,273500.00,0.62,0.146342325,1.682039533,Bininda-Emonds 2000,
Phoca caspica,Carnivora,162.50,156.85,62750.00,0.76,0.15290742,1.679094572,Bininda-Emonds 2000,
Panthera pardus,Carnivora,135.00,130.31,48000.00,0.78,0.150431923,1.638245774,Crile & Quiring 1940; Silva & Downing 1995,
Halichoerus grypus,Carnivora,307.50,296.81,194000.00,0.62,0.141942251,1.614187993,Bininda-Emonds 2000,
Otocyon megalotis,Carnivora,26.09,25.18,3335.00,1.10,0.156411998,1.568218622,Crile & Quiring 1940; Silva & Downing 1995,
Phoca sibirica,Carnivora,187.50,180.98,89500.00,0.68,0.141016651,1.56566009,Bininda-Emonds 2000,
Leptailurus serval,Carnivora,54.10,52.22,11340.00,0.91,0.149832452,1.560340793,Count 1947,
Mirounga leonina,Carnivora,1205.00,1163.13,2006500.00,0.43,0.127355408,1.55708951,Bininda-Emonds 2000,
Genetta tigrina,Carnivora,15.35,14.82,1525.00,1.16,0.150776816,1.475490793,Crile & Quiring 1940; Silva & Downing 1995,
Ichneumia albicauda,Carnivora,28.30,27.32,4400.00,0.97,0.142441735,1.44047213,Crile & Quiring 1940; Silva & Downing 1995,
Panthera tigris,Carnivora,269.73,260.36,195000.00,0.54,0.124105846,1.411574756,Crile & Quiring 1940; Sherwood/this study; Silva & Downing 1995,
Mustela putorius,Carnivora,7.87,7.60,915.00,0.87,0.106705666,1.027808266,Count 1947,
Mephitis mephitis,Carnivora,10.15,9.80,1980.00,0.63,0.084555092,0.834174594,Crile & Quiring 1940; Silva & Downing 1995,
Phocoena phocoena,Cetartiodactyla,1735.00,1674.71,142430.00,4.43,0.973299292,10.96298008,Crile & Quiring 1940; Silva & Downing 1995,
Lagenorhynchus obliquidens,Cetartiodactyla,1136.75,1097.25,89750.00,4.10,0.853433486,9.476202198,Ridgway et al. 1966,
Stenella coeruleoalba,Cetartiodactyla,883.75,853.04,63500.00,4.12,0.825369972,9.066824761,Pilleri & Busnel 1969; Silva & Downing 1995,
Tursiops truncatus,Cetartiodactyla,1573.00,1518.34,170480.00,3.51,0.787791638,8.92306003,Marino 2000; Ridgway et al. 1966,
Delphinus delphis,Cetartiodactyla,797.26,769.56,65086.96,3.65,0.733086517,8.059240507,Marino 2000; Pilleri & Busnel 1969; Silva & Downing 1995,
Stenella longirostris,Cetartiodactyla,450.00,434.36,33600.00,3.38,0.628003246,6.763928026,Marino 2004,
Phocoenoides dalli,Cetartiodactyla,833.67,804.70,98333.33,2.81,0.590837042,6.579032179,Ridgway et al. 1966,
Orcinus orca,Cetartiodactyla,6052.00,5841.70,3273000.00,1.49,0.469718266,5.830708723,Ridgway et al. 1987,
Delphinapterus leucas,Cetartiodactyla,1921.00,1854.25,498250.00,1.93,0.488998551,5.725969242,Marino 2001; Ridgway et al. 1987; Silva & Downing 1995,
Pseudorca crassidens,Cetartiodactyla,4307.00,4157.34,2000000.00,1.53,0.456136056,5.576309942,Ridgway et al. 1987; Silva & Downing 1995,
Rangifer tarandus,Cetartiodactyla,278.00,268.34,71700.00,1.18,0.240481497,2.651693554,Crile & Quiring 1940; Silva & Downing 1995,
Damaliscus pygargus,Cetartiodactyla,254.60,245.75,62500.00,1.20,0.240174872,2.637062478,Sherwood/this study; Myers 2006,
Alces alces,Cetartiodactyla,436.00,420.85,200000.00,0.86,0.197426761,2.247286911,Warncke 1908,
Tayassu pecari,Cetartiodactyla,145.80,140.73,32233.33,1.13,0.208874965,2.246800039,Warncke 1908; Silva & Downing 1995,
Connochaetes taurinus,Cetartiodactyla,443.00,427.61,212230.00,0.84,0.193222684,2.203482939,Quiring 1938; Silva & Downing 1995,
Odocoileus virginianus,Cetartiodactyla,210.00,202.70,65090.00,0.96,0.193090652,2.122759348,Crile & Quiring 1940; Silva & Downing 1995,
Cervus elaphus,Cetartiodactyla,409.30,395.08,200000.00,0.81,0.185336636,2.109666359,Warncke 1908,
Tragelaphus scriptus,Cetartiodactyla,165.00,159.27,44225.00,1.01,0.193614106,2.103164631,Crile & Quiring 1940; Silva & Downing 1995,
Aepyceros melampus,Cetartiodactyla,175.00,168.92,57610.00,0.88,0.173793427,1.903396884,"Crile & Quiring 1940, Silva & Downing 1995",
Boselaphus tragocamelus,Cetartiodactyla,271.75,262.31,125000.00,0.77,0.165534604,1.857007147,Warncke 1908,
Axis axis,Cetartiodactyla,219.00,211.39,88450.00,0.80,0.16593853,1.84168539,Crile & Quiring 1940; Silva & Downing 1995,
Madoqua kirkii,Cetartiodactyla,37.00,35.71,4570.00,1.23,0.181829381,1.840950174,Crile & Quiring 1940; Silva & Downing 1995,
Tragelaphus eurycerus,Cetartiodactyla,389.00,375.48,253000.00,0.65,0.151862313,1.741274816,Sherwood/this study; Silva & Downing 1995,
Gazella thomsonii,Cetartiodactyla,91.80,88.61,24370.00,0.88,0.156893988,1.673090349,Crile & Quiring 1940; Silva & Downing 1995,
Syncerus caffer,Cetartiodactyla,647.50,625.00,665440.00,0.52,0.137318014,1.622424371,Crile & Quiring 1940; Silva & Downing 1995; Quiring 1938,
Megaptera novaeangliae,Cetartiodactyla,6100.00,5888.03,30050000.00,0.29,0.116863645,1.553864624,Jacobs & Jensen 1964; Silva & Downing 1995,
Kobus ellipsiprymnus,Cetartiodactyla,290.00,279.92,188200.00,0.60,0.136452808,1.55030182,Quiring 1938; Silva & Downing 1995,
Sus scrofa,Cetartiodactyla,169.80,163.90,86772.73,0.63,0.130222886,1.444434217,Warncke 1908; Silva & Downing 1995,
Moschiola meminna,Cetartiodactyla,16.93,16.34,1997.00,1.04,0.14023602,1.383859084,Warncke 1908,
Tragulus napu,Cetartiodactyla,18.50,17.86,2510.00,0.96,0.132692712,1.318734979,Warncke 1908,
Phacochoerus aethiopicus,Cetartiodactyla,125.00,120.66,65320.00,0.57,0.11467938,1.260875882,Crile & Quiring 1940; Silva & Downing 1995,
Giraffa camelopardalis,Cetartiodactyla,700.00,675.68,1209000.00,0.36,0.101848938,1.22583577,Crile & Quiring 1940; Quiring 1937; Silva & Downing 1995,
Hippopotamus amphibius,Cetartiodactyla,720.00,694.98,1351000.00,0.34,0.09766938,1.179585207,Crile & Quiring 1940,
Balaenoptera borealis,Cetartiodactyla,4900.00,4729.73,36666666.67,0.20,0.082796174,1.107702796,Jacobs & Jensen 1964; Silva & Downing 1995,
Balaenoptera physalus,Cetartiodactyla,5100.00,4922.78,62500000.00,0.14,0.0615516,0.837205738,Jacobs & Jensen 1964; Silva & Downing 1995,
Pteropus rufus,Chiroptera,7.30,7.05,374.86,1.57,0.173847314,1.628839891,Warncke 1908,
Pteropus lylei,Chiroptera,6.13,5.92,314.29,1.50,0.163086068,1.519688224,Stephan et al. 1974,
Rousettus egyptiacus,Chiroptera,2.60,2.51,130.00,1.23,0.120765964,1.094957763,Pirlot & Stephan 1970,
Desmodus rotundus,Chiroptera,0.90,0.87,29.00,1.30,0.107491137,0.930309741,Crile & Quiring 1940; Pirlot & Stephan 1970,
Cynopterus brachyotis,Chiroptera,0.88,0.85,29.00,1.27,0.105336527,0.911662107,Pirlot & Stephan 1970,
Diaemus youngi,Chiroptera,0.97,0.94,34.60,1.23,0.103868575,0.90389109,Pirlot & Stephan 1970,
Cynopterus horsfieldi,Chiroptera,1.23,1.19,53.00,1.14,0.100636725,0.887420833,Pirlot & Stephan 1970,
Eonycteris spelaea,Chiroptera,1.18,1.14,50.00,1.14,0.100161632,0.881637461,Pirlot & Stephan 1970,
Noctilio leporinus,Chiroptera,1.26,1.22,58.50,1.08,0.096864503,0.856775533,Pirlot & Stephan 1970,
Phyllostomus discolor,Chiroptera,0.89,0.86,33.00,1.17,0.09819224,0.853240916,Pirlot & Stephan 1970,
Artibeus jamaicensis,Chiroptera,0.93,0.90,37.50,1.11,0.094653936,0.825760716,Pirlot & Stephan 1970,
Hypsignathus monstrosus,Chiroptera,3.40,3.28,340.00,0.78,0.086096437,0.804232459,Pirlot & Stephan 1970,
Casinycteris argynnis,Chiroptera,0.92,0.89,40.50,1.04,0.089197599,0.780018393,Pirlot & Stephan 1970,
Uroderma bilobatum,Chiroptera,0.53,0.51,16.40,1.17,0.090903135,0.772964576,Pirolot & Stephan 1969,
Platyrrhinus helleri,Chiroptera,0.42,0.41,11.60,1.20,0.089628424,0.753988162,Pirlot & Stephan 1970,
Sturnira lilium,Chiroptera,0.52,0.50,17.10,1.12,0.086866487,0.739597965,Pirlot & Stephan 1970,
Glossophaga soricina,Chiroptera,0.39,0.38,11.20,1.15,0.085089798,0.715029276,Pirlot & Stephan 1970,
Artibeus lituratus,Chiroptera,1.05,1.01,58.70,0.90,0.080546767,0.712519031,Pirlot & Stephan 1970,
Carollia perspicillata,Chiroptera,0.47,0.45,16.00,1.06,0.081878072,0.695690221,Pirlot & Stephan 1970,
Nycteris arge,Chiroptera,0.36,0.35,10.60,1.10,0.081321234,0.682195754,Pirlot & Stephan 1970,
Mormoops megalophylla,Chiroptera,0.42,0.41,15.60,0.97,0.074345918,0.631196471,Pirlot & Stephan 1970,
Leptonycteris curasoae,Chiroptera,0.55,0.53,24.50,0.90,0.073226512,0.630453513,Pirlot & Stephan 1970,
Myotis bechsteini,Chiroptera,0.27,0.26,7.50,1.05,0.074464911,0.618015185,Pirlot & Stephan 1970,
Hipposideros caffer,Chiroptera,0.32,0.31,10.70,0.98,0.071858521,0.602989489,Pirlot & Stephan 1970,
Pteronotus davyi,Chiroptera,0.31,0.30,10.60,0.95,0.070026618,0.587446344,Pirlot & Stephan 1970,
Rhinolophus hipposideros,Chiroptera,0.24,0.23,7.15,0.97,0.068056594,0.563993719,Pirlot & Stephan 1970,
Myotis daubentoni,Chiroptera,0.23,0.22,7.00,0.96,0.067505698,0.559060801,Pirlot & Stephan 1970,
Myotis mystacinus,Chiroptera,0.16,0.15,4.00,1.02,0.06684818,0.544094102,Pirlot & Stephan 1970,
Myotis myotis,Chiroptera,0.48,0.46,25.00,0.78,0.063097267,0.543584748,Pirlot & Stephan 1970,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Myotis nattereri,Chiroptera,0.22,0.21,7.00,0.92,0.064570668,0.53475381,Pirlot & Stephan 1970,
Mimon crenulatum,Chiroptera,0.34,0.33,14.80,0.81,0.062217597,0.527365747,Pirlot & Stephan 1970,
Hipposideros bicolor,Chiroptera,0.24,0.23,8.40,0.88,0.062785661,0.522918131,Pirlot & Stephan 1970,
Saccopteryx bilineata,Chiroptera,0.22,0.21,8.00,0.83,0.059352957,0.493581324,Pirlot & Stephan 1970,
Miniopterus schreibersi,Chiroptera,0.29,0.28,12.70,0.78,0.058447684,0.49306684,Pirlot & Stephan 1970,
Myotis bocagei,Chiroptera,0.21,0.20,7.60,0.83,0.058518795,0.485871214,Pirlot & Stephan 1970,
Noctilio albiventris,Chiroptera,0.55,0.53,38.50,0.64,0.055056225,0.480702391,Pirlot & Stephan 1970,
Chaerephon pumila,Chiroptera,0.29,0.28,13.30,0.75,0.056769762,0.479597647,Pirlot & Stephan 1970,
Myotis dasycneme,Chiroptera,0.31,0.30,15.00,0.73,0.056249358,0.476976485,Pirlot & Stephan 1970,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Molossus molossus,Chiroptera,0.26,0.25,13.00,0.69,0.051635044,0.435910537,Pirlot & Stephan 1970,
Mormopterus jugularis,Chiroptera,0.22,0.21,11.50,0.64,0.047205413,0.3970032,Pirlot & Stephan 1970,
Myotis nigricans,Chiroptera,0.12,0.12,4.50,0.70,0.046545062,0.380227714,Pirlot & Stephan 1970,
Rhynchonycteris naso,Chiroptera,0.11,0.11,4.30,0.66,0.043907989,0.358180256,Pirlot & Stephan 1970,
Myrmecobius fasciatus,Dasyuromorphia,4.40,4.25,405.40,0.89,0.09978,0.937148618,Ashwell 2007; Silva & Downing 1995,
Parantechinus apicalis,Dasyuromorphia,1.24,1.20,60.50,1.04,0.093567024,0.828471946,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Antechinus stuartii,Dasyuromorphia,0.79,0.76,29.80,1.12,0.092642943,0.802478895,Ashwell 2007; Silva & Downing 1995,
Dasycercus byrnei,Dasyuromorphia,1.55,1.50,98.40,0.90,0.086047958,0.773470912,Ashwell 2007; Silva & Downing 1995,
Phascogale calura,Dasyuromorphia,0.94,0.91,43.80,1.00,0.086996232,0.762617403,Ashwell 2007; Silva & Downing 1995,
Antechinus swainsonii,Dasyuromorphia,1.13,1.09,63.50,0.91,0.082433832,0.730991031,Ashwell 2007; Silva & Downing 1995,
Murexia rothschildi,Dasyuromorphia,1.09,1.05,62.00,0.89,0.080615649,0.714338522,Ashwell 2007; Silva & Downing 1995,
Antechinus minimus,Dasyuromorphia,0.77,0.74,36.30,0.94,0.079645245,0.694124751,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sminthopsis laniger,Dasyuromorphia,0.49,0.47,17.80,1.01,0.079307097,0.676076192,Ashwell 2007; Silva & Downing 1995,
Antechinus flavipes,Dasyuromorphia,0.66,0.64,30.70,0.92,0.076564046,0.6638145,Ashwell 2007; Silva & Downing 1995,
Sminthopsis griseoventer,Dasyuromorphia,0.51,0.49,19.80,0.98,0.077308912,0.661221173,Ashwell 2007; Silva & Downing 1995,
Dasyurus hallucatus,Dasyuromorphia,3.50,3.38,513.00,0.59,0.068400906,0.647136755,Ashwell 2007; Silva & Downing 1995,
Sminthopsis crassicaudata,Dasyuromorphia,0.37,0.36,13.30,0.97,0.073009829,0.61679565,Ashwell 2007; Silva & Downing 1995,
Sminthopsis macroura,Dasyuromorphia,0.41,0.40,17.00,0.89,0.06948258,0.59148049,Ashwell 2007; Silva & Downing 1995,
Antechinus leo,Dasyuromorphia,0.78,0.75,60.20,0.65,0.058663111,0.519341651,Ashwell 2007; Silva & Downing 1995,
Antechinus bellus,Dasyuromorphia,0.65,0.63,45.80,0.67,0.058554954,0.514009385,Ashwell 2007; Silva & Downing 1995,
Planigale gilesi,Dasyuromorphia,0.18,0.17,6.10,0.82,0.05638129,0.46494417,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Murexia longicaudata,Dasyuromorphia,1.74,1.68,296.50,0.44,0.048049726,0.446934879,Ashwell 2007; Silva & Downing 1995,
Caluromys philander,Didelphimorphia,3.63,3.50,277.00,0.98,0.104494282,0.969906721,Ashwell 2007; Silva & Downing 1995,
Thylamys elegans,Didelphimorphia,0.74,0.71,20.10,1.40,0.110961125,0.949490229,Ashwell 2007; Silva & Downing 1995,
Caluromys derbianus,Didelphimorphia,3.52,3.40,289.00,0.92,0.098828361,0.918522919,Ashwell 2007; Silva & Downing 1995,
Marmosa rubra,Didelphimorphia,1.24,1.20,60.00,1.05,0.094058277,0.832607429,Ashwell 2007; Silva & Downing 1995,
Marmosa mexicana,Didelphimorphia,1.04,1.00,46.70,1.05,0.091810058,0.806416968,Ashwell 2007; Silva & Downing 1995,
Metachirus nudicaudatus,Didelphimorphia,3.63,3.50,390.00,0.76,0.084204537,0.789912645,Ashwell 2007; Silva & Downing 1995,
Marmosa murina,Didelphimorphia,1.14,1.10,60.00,0.96,0.086220088,0.763223477,Ashwell 2007; Silva & Downing 1995,
Philander opossum,Didelphimorphia,3.97,3.83,570.00,0.62,0.072522197,0.688372713,Ashwell 2007; Silva & Downing 1995,
Caluromys lanatus,Didelphimorphia,3.10,2.99,384.00,0.65,0.072697278,0.681636738,Warncke 1908; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Monodelphis brevicaudata,Didelphimorphia,0.93,0.90,64.60,0.74,0.067330991,0.597382897,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Didelphis marsupialis,Didelphimorphia,6.05,5.84,1535.00,0.45,0.05918211,0.579269119,Warncke 1908,
Marmosa robinsoni,Didelphimorphia,0.73,0.70,50.50,0.69,0.061171678,0.538608247,Ashwell 2007; Silva & Downing 1995,
Didelphis virginiana,Didelphimorphia,6.96,6.72,2797.00,0.33,0.04663753,0.465054209,Ashwell 2007; Silva & Downing 1995,
Gymnobelideus leadbeateri,Diprotodontia,2.95,2.85,90.50,1.83,0.172356958,1.545274003,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Onychogalea fraenata,Diprotodontia,13.50,13.03,1433.00,1.07,0.13791512,1.347026329,Warncke 1908,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Thylogale billardierii,Diprotodontia,22.90,22.10,3618.00,0.91,0.130385058,1.310572111,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Bettongia gaimardi,Diprotodontia,12.12,11.70,1273.00,1.05,0.133434568,1.298489988,Ashwell 2007; Silva & Downing 1995,
Macropus eugenii,Diprotodontia,24.55,23.70,4425.00,0.84,0.123142023,1.245518455,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Bettongia penicillata,Diprotodontia,9.90,9.56,981.00,1.04,0.128512083,1.24052715,Ashwell 2007;  Silva & Downing 1995,
Dendrolagus dorianus,Diprotodontia,33.46,32.30,7897.00,0.74,0.116448293,1.199154179,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lagorchestes conspicillatus,Diprotodontia,14.50,14.00,2015.00,0.89,0.11949774,1.179540321,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Petrogale concinna,Diprotodontia,11.40,11.00,1407.00,0.91,0.117773701,1.149650976,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dactylopsila trivirgata,Diprotodontia,6.04,5.83,506.00,1.04,0.119008722,1.125454729,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Thylogale thetis,Diprotodontia,19.89,19.20,3694.00,0.77,0.111799511,1.124482963,Ashwell 2007; Silva & Downing 1995,
Macropus rufogriseus,Diprotodontia,38.15,36.82,12257.50,0.61,0.100591117,1.050075832,Ashwell 2007; Sherwood/this study; Silva & Downing 1995,
Petrogale penicillata,Diprotodontia,24.76,23.90,5990.00,0.67,0.102581912,1.047349412,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Vombatus ursinus,Diprotodontia,61.12,59.00,27192.00,0.54,0.097487483,1.043126807,Ashwell 2007; Silva & Downing 1995,
Macropus parryi,Diprotodontia,42.79,41.30,15194.00,0.58,0.098524481,1.035372353,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Trichosurus vulpecula,Diprotodontia,11.40,11.00,1761.00,0.77,0.102240734,1.004993075,Ashwell 2007; Silva & Downing 1995; Warncke 1908,
Macropus parma,Diprotodontia,17.40,16.80,3760.00,0.67,0.096710845,0.973254839,Sherwood/this study; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Petrogale persephone,Diprotodontia,22.27,21.50,5732.00,0.63,0.094880393,0.967396555,Ashwell 2007; Silva & Downing 1995,
Dendrolagus inustus,Diprotodontia,31.18,30.10,10119.00,0.57,0.092801263,0.96301649,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Macropus antilopinus,Diprotodontia,58.84,56.80,31286.00,0.47,0.085903661,0.923183634,Ashwell 2007; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Phalanger vestitus,Diprotodontia,9.88,9.54,1672.00,0.70,0.091604224,0.898993179,Ashwell 2007; Silva & Downing 1995,
Macropus robustus,Diprotodontia,61.12,59.00,35540.00,0.44,0.08233387,0.888323893,Ashwell 2007; Silva & Downing 1995,
