Order,Suborder,Family,Species,MYA,Actual MYA,5My_oxy_SD,5My_oxy_M,5My_oxy_slope,5My_carb_SD,5My_carb_M,5My_carb_slope,1Mya_oxy_SD,1Mya_oxy_M,1Mya_oxy_slope,1Mya_carb_SD,1Mya_carb_M,1Mya_carb_slope,400K_oxy_SD,400K_oxy_M,400K_oxy_slope,400K_carb_SD,400K_carb_M,400K_carb_slope,200K_oxy_SD,200K_oxy_M,200K_oxy_slope,200K_carb_SD,200K_carb_M,200K_carb_slope,100K_oxy_SD,100K_oxy_M,100K_oxy_slope,100K_carb_SD,100K_carb_M,100K_carb_slope,40K_oxy_SD,40K_oxy_M,40K_oxy_slope,40K_carb_SD,40K_carb_M,40K_carb_slope,CC,log(CC),Body Estimate,log(Body), EQ = brain mass/(11.22 x body mass^0.76),Fossil,Social
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.024,-0.024,0.489,3.507,0.266,0.496,0.009,0.070,0.444,4.060,0.180,0.462,0.045,0.217,0.481,4.051,1.023,0.460,0.109,0.283,0.485,4.116,2.211,0.440,0.146,1.418,0.453,4.069,12.817,0.417,0.288,-1.359,0.235,4.436,10.813,0.389,0.200,5.885,1375,3.138,,,,Grotte des Enfants 5,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.024,-0.024,0.489,3.507,0.266,0.496,0.009,0.070,0.444,4.060,0.180,0.462,0.045,0.217,0.481,4.051,1.023,0.460,0.109,0.283,0.485,4.116,2.211,0.440,0.146,1.418,0.453,4.069,12.817,0.417,0.288,-1.359,0.235,4.436,10.813,0.389,0.200,5.885,1580,3.199,,,,Grotte des Enfants 6,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.024,-0.024,0.489,3.507,0.266,0.496,0.009,0.070,0.444,4.060,0.180,0.462,0.045,0.217,0.481,4.051,1.023,0.460,0.109,0.283,0.485,4.116,2.211,0.440,0.146,1.418,0.453,4.069,12.817,0.417,0.288,-1.359,0.235,4.436,10.813,0.389,0.200,5.885,1464,3.166,,,,Sungir 1,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.0248,-0.024,0.489,3.507,0.266,0.496,0.009,0.070,0.444,4.060,0.180,0.462,0.045,0.217,0.481,4.051,1.023,0.460,0.109,0.283,0.485,4.116,2.211,0.440,0.146,1.418,0.453,4.069,12.817,0.417,0.288,-1.359,0.235,4.436,10.813,0.389,0.200,5.885,1880,3.274,,,,Barma Grande 2,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.026,-0.026,0.489,3.506,0.266,0.496,0.009,0.070,0.444,4.056,0.183,0.464,0.048,0.196,0.480,4.049,0.954,0.460,0.109,0.303,0.482,4.114,1.857,0.441,0.146,1.443,0.469,4.032,13.278,0.422,0.300,-1.618,0.222,4.427,6.295,0.386,0.203,7.133,1600,3.204,,,,Brno I,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.026,-0.026,0.489,3.506,0.266,0.496,0.009,0.070,0.444,4.056,0.183,0.464,0.048,0.196,0.480,4.049,0.954,0.460,0.109,0.303,0.482,4.114,1.857,0.441,0.146,1.443,0.469,4.032,13.278,0.422,0.300,-1.618,0.222,4.427,6.295,0.386,0.203,7.133,1500,3.176,,,,Brno II,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.026,-0.026,0.489,3.506,0.266,0.496,0.009,0.070,0.444,4.056,0.183,0.464,0.048,0.196,0.480,4.049,0.954,0.460,0.109,0.303,0.482,4.114,1.857,0.441,0.146,1.443,0.469,4.032,13.278,0.422,0.300,-1.618,0.222,4.427,6.295,0.386,0.203,7.133,1304,3.115,,,,Brno III,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.027,-0.027,0.489,3.506,0.266,0.496,0.009,0.070,0.444,4.056,0.179,0.465,0.047,0.195,0.479,4.047,0.933,0.461,0.109,0.300,0.480,4.110,1.779,0.442,0.145,1.457,0.462,4.026,12.378,0.424,0.293,-1.019,0.216,4.417,5.327,0.393,0.202,7.792,1600,3.204,,,,Cro Magnon 1,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.027,-0.027,0.489,3.506,0.266,0.496,0.009,0.070,0.444,4.056,0.179,0.465,0.047,0.195,0.479,4.047,0.933,0.461,0.109,0.300,0.480,4.110,1.779,0.442,0.145,1.457,0.462,4.026,12.378,0.424,0.293,-1.019,0.216,4.417,5.327,0.393,0.202,7.792,1590,3.201,,,,Cro Magnon 3,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.027,-0.027,0.489,3.506,0.266,0.496,0.009,0.070,0.444,4.056,0.179,0.465,0.047,0.195,0.479,4.047,0.933,0.461,0.109,0.300,0.480,4.110,1.779,0.442,0.145,1.457,0.462,4.026,12.378,0.424,0.293,-1.019,0.216,4.417,5.327,0.393,0.202,7.792,1538,3.187,,,,Dolni Vestonice 14,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.027,-0.027,0.489,3.506,0.266,0.496,0.009,0.070,0.444,4.056,0.179,0.465,0.047,0.195,0.479,4.047,0.933,0.461,0.109,0.300,0.480,4.110,1.779,0.442,0.145,1.457,0.462,4.026,12.378,0.424,0.293,-1.019,0.216,4.417,5.327,0.393,0.202,7.792,1481,3.171,,,,Dolni Vestonice 18,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.027,-0.027,0.489,3.506,0.266,0.496,0.009,0.070,0.444,4.056,0.179,0.465,0.047,0.195,0.479,4.047,0.933,0.461,0.109,0.300,0.480,4.110,1.779,0.442,0.145,1.457,0.462,4.026,12.378,0.424,0.293,-1.019,0.216,4.417,5.327,0.393,0.202,7.792,1378,3.139,,,,Dolni Vestonice 20,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.027,-0.027,0.489,3.506,0.266,0.496,0.009,0.070,0.444,4.056,0.179,0.465,0.047,0.195,0.479,4.047,0.933,0.461,0.109,0.300,0.480,4.110,1.779,0.442,0.145,1.457,0.462,4.026,12.378,0.424,0.293,-1.019,0.216,4.417,5.327,0.393,0.202,7.792,1547,3.189,,,,Dolni Vestonice 21,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.027,-0.027,0.489,3.506,0.266,0.496,0.009,0.070,0.444,4.056,0.179,0.465,0.047,0.195,0.479,4.047,0.933,0.461,0.109,0.300,0.480,4.110,1.779,0.442,0.145,1.457,0.462,4.026,12.378,0.424,0.293,-1.019,0.216,4.417,5.327,0.393,0.202,7.792,1322,3.121,,,,Dolni Vestonice 3,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.0275,-0.027,0.489,3.506,0.266,0.496,0.009,0.070,0.444,4.056,0.179,0.465,0.047,0.195,0.479,4.047,0.933,0.461,0.109,0.300,0.480,4.110,1.779,0.442,0.145,1.457,0.462,4.026,12.378,0.424,0.293,-1.019,0.216,4.417,5.327,0.393,0.202,7.792,1522,3.182,,,,Pavlov 1,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.0275,-0.027,0.489,3.506,0.266,0.496,0.009,0.070,0.444,4.056,0.179,0.465,0.047,0.195,0.479,4.047,0.933,0.461,0.109,0.300,0.480,4.110,1.779,0.442,0.145,1.457,0.462,4.026,12.378,0.424,0.293,-1.019,0.216,4.417,5.327,0.393,0.202,7.792,1452,3.162,,,,Predmosti 10,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.0275,-0.027,0.489,3.506,0.266,0.496,0.009,0.070,0.444,4.056,0.179,0.465,0.047,0.195,0.479,4.047,0.933,0.461,0.109,0.300,0.480,4.110,1.779,0.442,0.145,1.457,0.462,4.026,12.378,0.424,0.293,-1.019,0.216,4.417,5.327,0.393,0.202,7.792,1608,3.206,,,,Predmosti 3,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.0275,-0.027,0.489,3.506,0.266,0.496,0.009,0.070,0.444,4.056,0.179,0.465,0.047,0.195,0.479,4.047,0.933,0.461,0.109,0.300,0.480,4.110,1.779,0.442,0.145,1.457,0.462,4.026,12.378,0.424,0.293,-1.019,0.216,4.417,5.327,0.393,0.202,7.792,1518,3.181,,,,Predmosti 4,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.0275,-0.027,0.489,3.506,0.266,0.496,0.009,0.070,0.444,4.056,0.179,0.465,0.047,0.195,0.479,4.047,0.933,0.461,0.109,0.300,0.480,4.110,1.779,0.442,0.145,1.457,0.462,4.026,12.378,0.424,0.293,-1.019,0.216,4.417,5.327,0.393,0.202,7.792,1555,3.192,,,,Predmosti 9,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.0285,-0.028,0.488,3.505,0.266,0.496,0.009,0.070,0.443,4.054,0.179,0.465,0.049,0.185,0.480,4.050,0.825,0.463,0.103,0.373,0.478,4.107,1.676,0.441,0.144,1.484,0.457,4.017,12.097,0.425,0.288,-0.652,0.209,4.409,4.123,0.387,0.198,7.685,1620,3.210,,,,Mladec 1,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.0285,-0.028,0.488,3.505,0.266,0.496,0.009,0.070,0.443,4.054,0.179,0.465,0.049,0.185,0.480,4.050,0.825,0.463,0.103,0.373,0.478,4.107,1.676,0.441,0.144,1.484,0.457,4.017,12.097,0.425,0.288,-0.652,0.209,4.409,4.123,0.387,0.198,7.685,1500,3.176,,,,Mladec 5,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.036,-0.036,0.487,3.503,0.265,0.497,0.009,0.069,0.441,4.050,0.154,0.469,0.052,0.145,0.485,4.052,0.533,0.465,0.092,0.461,0.474,4.083,1.389,0.446,0.143,1.273,0.464,4.006,8.572,0.437,0.266,1.214,0.228,4.337,7.686,0.436,0.243,1.035,1457.5,3.164,,,,Spy 1,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.036,-0.036,0.487,3.503,0.265,0.497,0.009,0.069,0.441,4.050,0.154,0.469,0.052,0.145,0.485,4.052,0.533,0.465,0.092,0.461,0.474,4.083,1.389,0.446,0.143,1.273,0.464,4.006,8.572,0.437,0.266,1.214,0.228,4.337,7.686,0.436,0.243,1.035,1487.4,3.172,,,,Spy 2,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.037,-0.037,0.487,3.503,0.265,0.497,0.009,0.069,0.441,4.049,0.148,0.469,0.051,0.140,0.488,4.055,0.426,0.465,0.089,0.456,0.474,4.078,1.283,0.446,0.139,1.220,0.469,4.009,7.063,0.438,0.263,1.082,0.232,4.310,8.073,0.457,0.260,-4.619,1420,3.152,,,,Nazlet Khater,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.0385,-0.037,0.487,3.503,0.265,0.497,0.009,0.069,0.441,4.049,0.148,0.469,0.051,0.140,0.488,4.055,0.426,0.465,0.089,0.456,0.474,4.078,1.283,0.446,0.139,1.220,0.469,4.009,7.063,0.438,0.263,1.082,0.232,4.310,8.073,0.457,0.260,-4.619,1605,3.205,,,,Kostenki 2,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.04,-0.04,0.487,3.502,0.265,0.497,0.009,0.069,0.441,4.049,0.138,0.469,0.050,0.130,0.490,4.056,0.351,0.465,0.085,0.473,0.478,4.064,1.484,0.444,0.138,1.110,0.476,4.010,6.270,0.438,0.256,1.459,0.271,4.273,12.307,0.460,0.272,-6.908,1486.2,3.172,,,,Le Moustier,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.04,-0.04,0.487,3.502,0.265,0.497,0.009,0.069,0.441,4.049,0.138,0.469,0.050,0.130,0.490,4.056,0.351,0.465,0.085,0.473,0.478,4.064,1.484,0.444,0.138,1.110,0.476,4.010,6.270,0.438,0.256,1.459,0.271,4.273,12.307,0.460,0.272,-6.908,1337.75,3.126,,,,Neandertal 1,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.045,-0.044,0.486,3.500,0.264,0.498,0.009,0.068,0.441,4.048,0.123,0.470,0.050,0.123,0.494,4.058,0.202,0.464,0.079,0.504,0.479,4.049,1.441,0.445,0.140,0.928,0.492,4.035,2.383,0.446,0.232,2.981,0.300,4.214,15.761,0.450,0.274,-5.993,1650,3.217,,,,Shanidar 1,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.045,-0.044,0.486,3.500,0.264,0.498,0.009,0.068,0.441,4.048,0.123,0.470,0.050,0.123,0.494,4.058,0.202,0.464,0.079,0.504,0.479,4.049,1.441,0.445,0.140,0.928,0.492,4.035,2.383,0.446,0.232,2.981,0.300,4.214,15.761,0.450,0.274,-5.993,1550,3.190,,,,Shanidar 5,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.0455,-0.044,0.486,3.500,0.264,0.498,0.009,0.068,0.441,4.048,0.123,0.470,0.050,0.123,0.494,4.058,0.202,0.464,0.079,0.504,0.479,4.049,1.441,0.445,0.140,0.928,0.492,4.035,2.383,0.446,0.232,2.981,0.300,4.214,15.761,0.450,0.274,-5.993,1420,3.152,,,,Font?chevade 2,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.0455,-0.044,0.486,3.500,0.264,0.498,0.009,0.068,0.441,4.048,0.123,0.470,0.050,0.123,0.494,4.058,0.202,0.464,0.079,0.504,0.479,4.049,1.441,0.445,0.140,0.928,0.492,4.035,2.383,0.446,0.232,2.981,0.300,4.214,15.761,0.450,0.274,-5.993,1310,3.117,,,,La Quina 18,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.0455,-0.044,0.486,3.500,0.264,0.498,0.009,0.068,0.441,4.048,0.123,0.470,0.050,0.123,0.494,4.058,0.202,0.464,0.079,0.504,0.479,4.049,1.441,0.445,0.140,0.928,0.492,4.035,2.383,0.446,0.232,2.981,0.300,4.214,15.761,0.450,0.274,-5.993,1345.25,3.129,,,,La Quina 5,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.047,-0.047,0.486,3.500,0.264,0.498,0.009,0.068,0.441,4.047,0.117,0.470,0.049,0.118,0.496,4.062,0.081,0.464,0.075,0.519,0.477,4.046,1.257,0.447,0.136,0.880,0.502,4.046,0.688,0.449,0.208,3.732,0.296,4.185,13.980,0.450,0.279,-7.470,1400,3.146,,,,Gibraltar 2,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.051,-0.0507,0.485,3.499,0.264,0.498,0.008,0.068,0.441,4.045,0.105,0.470,0.046,0.119,0.496,4.060,0.000,0.463,0.069,0.520,0.479,4.048,0.703,0.444,0.126,0.888,0.523,4.066,-2.176,0.444,0.190,3.985,0.292,4.145,12.712,0.456,0.290,-11.703,1570,3.196,,,,Combe Capelle,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.051,-0.0507,0.485,3.499,0.264,0.498,0.008,0.068,0.441,4.045,0.105,0.470,0.046,0.119,0.496,4.060,0.000,0.463,0.069,0.520,0.479,4.048,0.703,0.444,0.126,0.888,0.523,4.066,-2.176,0.444,0.190,3.985,0.292,4.145,12.712,0.456,0.290,-11.703,1626,3.211,,,,La Chapelle-aux-Saints,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.054,-0.0529,0.485,3.498,0.264,0.498,0.008,0.067,0.441,4.044,0.100,0.469,0.045,0.121,0.499,4.061,-0.098,0.462,0.065,0.536,0.481,4.051,0.311,0.443,0.120,0.925,0.527,4.069,-3.540,0.445,0.171,4.802,0.295,4.104,13.746,0.454,0.305,-11.968,1226.75,3.089,,,,Gibraltar 1,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.054,-0.0529,0.485,3.498,0.264,0.498,0.008,0.067,0.441,4.044,0.100,0.469,0.045,0.121,0.499,4.061,-0.098,0.462,0.065,0.536,0.481,4.051,0.311,0.443,0.120,0.925,0.527,4.069,-3.540,0.445,0.171,4.802,0.295,4.104,13.746,0.454,0.305,-11.968,1551,3.191,,,,Monte Circeo I (Guattari 1),
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.06,-0.06,0.485,3.496,0.263,0.498,0.008,0.067,0.441,4.041,0.105,0.470,0.044,0.113,0.500,4.062,-0.178,0.462,0.059,0.574,0.480,4.059,-0.222,0.446,0.108,1.122,0.536,4.092,-5.823,0.450,0.144,6.253,0.309,4.024,17.629,0.457,0.315,-7.602,1362,3.134,,,,Engis 2,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.06,-0.06,0.485,3.496,0.263,0.498,0.008,0.067,0.441,4.041,0.105,0.470,0.044,0.113,0.500,4.062,-0.178,0.462,0.059,0.574,0.480,4.059,-0.222,0.446,0.108,1.122,0.536,4.092,-5.823,0.450,0.144,6.253,0.309,4.024,17.629,0.457,0.315,-7.602,1581,3.199,,,,Teshik-Tash,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.0625,-0.061,0.484,3.496,0.263,0.498,0.008,0.067,0.442,4.038,0.106,0.472,0.046,0.109,0.500,4.062,-0.261,0.463,0.059,0.612,0.479,4.056,-0.435,0.448,0.111,1.252,0.533,4.087,-6.782,0.454,0.142,7.153,0.285,3.981,15.457,0.459,0.360,-6.351,1745,3.242,,,,Amud 1,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.071,-0.0705,0.483,3.494,0.262,0.499,0.009,0.066,0.447,4.029,0.132,0.475,0.050,0.085,0.499,4.062,-0.435,0.466,0.063,0.578,0.478,4.060,-1.208,0.456,0.103,1.636,0.533,4.094,-9.829,0.454,0.140,8.087,0.211,3.859,7.426,0.453,0.380,11.404,1650.2,3.218,,,,La Ferrassie,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.087,-0.087,0.484,3.491,0.263,0.499,0.007,0.064,0.451,4.025,0.176,0.472,0.043,0.017,0.499,4.066,-0.335,0.461,0.055,0.147,0.480,4.066,-0.896,0.442,0.063,0.795,0.528,4.144,-9.858,0.403,0.014,7.273,0.389,3.653,15.327,0.420,0.307,1.203,1535,3.186,,,,Qafzeh 6,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.09,-0.09,0.484,3.491,0.264,0.499,0.007,0.064,0.452,4.025,0.183,0.471,0.043,0.003,0.502,4.063,-0.256,0.459,0.053,0.064,0.483,4.066,-0.750,0.436,0.053,0.690,0.534,4.139,-8.488,0.392,0.002,6.117,0.393,3.629,14.070,0.418,0.280,2.250,1280,3.107,,,,Qafzeh 11,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.09,-0.09,0.484,3.491,0.264,0.499,0.007,0.064,0.452,4.025,0.183,0.471,0.043,0.003,0.502,4.063,-0.256,0.459,0.053,0.064,0.483,4.066,-0.750,0.436,0.053,0.690,0.534,4.139,-8.488,0.392,0.002,6.117,0.393,3.629,14.070,0.418,0.280,2.250,1531,3.185,,,,Qafzeh 9,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.1,-0.1,0.484,3.489,0.264,0.500,0.006,0.063,0.452,4.026,0.204,0.472,0.042,-0.029,0.503,4.062,-0.065,0.455,0.053,-0.117,0.480,4.084,-0.546,0.432,0.040,0.337,0.556,4.111,-2.933,0.411,0.020,1.420,0.601,3.806,-23.011,0.422,0.177,12.645,1235,3.092,,,,Eyasi,
HomininPrimates,Anthropoidea,Hominoidea,Homo neanderthalensis,-0.107,-0.1062,0.485,3.489,0.265,0.501,0.006,0.063,0.451,4.027,0.222,0.473,0.041,-0.039,0.501,4.065,0.036,0.453,0.053,-0.180,0.477,4.094,-0.151,0.431,0.039,0.101,0.564,4.102,0.450,0.425,0.034,-0.564,0.671,4.002,-37.343,0.439,0.078,21.745,1320,3.121,,,,Ganovce 1,
HomininPrimates,Anthropoidea,Hominoidea,Homo heidelbergensis,-0.11,-0.109,0.485,3.488,0.265,0.501,0.006,0.062,0.452,4.027,0.228,0.473,0.042,-0.053,0.501,4.066,0.059,0.452,0.051,-0.224,0.477,4.093,0.000,0.430,0.033,0.009,0.566,4.098,1.246,0.429,0.036,-1.805,0.701,4.101,-41.811,0.418,0.035,18.784,1250,3.097,,,,Lazaret,
HomininPrimates,Anthropoidea,Hominoidea,Homo sapiens,-0.11,-0.109,0.485,3.488,0.265,0.501,0.006,0.062,0.452,4.027,0.228,0.473,0.042,-0.053,0.501,4.066,0.059,0.452,0.051,-0.224,0.477,4.093,0.000,0.430,0.033,0.009,0.566,4.098,1.246,0.429,0.036,-1.805,0.701,4.101,-41.811,0.418,0.035,18.784,1380,3.140,,,,Pataud 1,
